,VLL Doublet,,,,,,,,,,badFilter,nCorrected,,,,
,VLLD-ele_100,/VLLD_ele_M100_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,4.592e-04 +- 2.503e-07,1.69E+01,493000,,0.000,6575.278,alaha thesis,,0.7746,111122,,,,
,VLLD-ele_200,/VLLD_ele_M200_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,4.930e-02 +- 6.116e-05,1.05E-01,298000,,0.000,707537.143,alaha thesis,,0.7507,74291,,,,
,VLLD-ele_300,/VLLD_ele_M300_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,1.386e-01 +- 3.913e-04,2.29E-02,100000,,0.000,1096506.550,alaha thesis,,0.7489,25110,,,,
,VLLD-ele_400,/VLLD_ele_M400_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,2.495e-01 +- 3.108e-04,7.20E-03,100000,,0.000,3475000.000,alaha thesis,,0.7498,25020,,,,
,VLLD-ele_600,/VLLD_ele_M600_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,2.511e-01 +- 1.267e-04,1.19E-03,100000,,0.000,21134453.782,alaha thesis,,0.7485,25150,,,,
,VLLD-ele_800,/VLLD_ele_M800_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,5.988e-01 +- 3.216e-04,2.77E-04,97000,,0.000,88805776.173,alaha thesis,,0.7464,24599,,,,
,VLLD-ele_1000,/VLLD_ele_M1000_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,6.267e-01 +- 3.329e-04,7.80E-05,100000,,0.000,324871794.872,alaha thesis,,0.7466,25340,,,,
,VLLD-ele_1200,/VLLD_ele_M1200_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,5.763e-01 +- 4.362e-04,,99000,,0.000,#DIV/0!,alaha thesis,,0.7500,24750,,,,
,VLLD-mu_100,/VLLD_mu_M100_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,4.590e-04 +- 3.461e-07,1.69E+01,500000,,0.000,6636.095,alaha thesis,,0.7757,112150,,,,
,VLLD-mu_200,/VLLD_mu_M200_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,4.931e-02 +- 6.844e-05,1.05E-01,298000,,0.000,706118.095,alaha thesis,,0.7512,74142,,,,
,VLLD-mu_300,/VLLD_mu_M300_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,1.408e-01 +- 1.622e-04,2.29E-02,100000,,0.000,1097816.594,alaha thesis,,0.7486,25140,,,,
,VLLD-mu_400,/VLLD_mu_M400_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,2.480e-01 +- 4.852e-04,7.20E-03,99000,,0.000,3397625.000,alaha thesis,,0.7529,24463,,,,
,VLLD-mu_600,/VLLD_mu_M600_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,4.655e-01 +- 2.543e-04,1.19E-03,100000,,0.000,21126050.420,alaha thesis,,0.7486,25140,,,,
,VLLD-mu_800,/VLLD_mu_M800_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,5.988e-01 +- 7.261e-04,2.77E-04,100000,,0.000,90794223.827,alaha thesis,,0.7485,25150,,,,
,VLLD-mu_1000,/VLLD_mu_M1000_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,6.282e-01 +- 3.056e-04,7.80E-05,100000,,0.000,321794871.795,alaha thesis,,0.7490,25100,,,,
,VLLD-mu_1200,/VLLD_mu_M1200_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,5.787e-01 +- 5.721e-04,,100000,,0.000,#DIV/0!,alaha thesis,,0.7500,25000,,,,
